flag,id,enqueteur,debut,date,sexe,age,ethnie,religion,importance,commune,department,boniethnie,acotonou,Cotonou,education,malnourriture,foot,passage,form,bonivote,nordsud,garde,pereethnie,mereethnie,femmeethnie,nom,nombre,fin,RAdummy1,RAdummy2,RAdummy3,RAdummy4,male,AdjaGroup,FonGroup,YorubaGroup,NagoGroup,BaribaGroup,DendiGroup,BatamaribeGroup,YoaLokpaGroup,PeulGroup,Christian,Muslim,Animist,Religiosity,Education,WithoutFood,BeninFoot,Control,Femme,FemmeFon,ControlFemme,ControlFemmeFon,FemmeFemmeFon,BoniVote,WifeIsFon,YayiCoethnics,NonCoethnics,NonCoEthnicsFon,NonCoEthnicsCoEthnics,FonCoEthnics,pop,FonXTreatment,NagoBaribaXTreatment,MaleXTreatment
"",1001,"Adam","8:04","27/8/2012","F",32,"Fon","Chretien","3","Cotonou","Littoral","Nago","18",18,"3","1","Oui","Nago","Long","Non","Nord","A","Nago","Bariba","Fon","Adam","1500","8:32",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,3,1,1,0,0,0,,,,0,1,0,0,1,,0,0,0,0,0
"",1002,"Adam","9:01","27/8/2012","M",46,"Goun","Chretien","3","Porto-Novo","Oueme","Nago","20",20,"5","1","Oui","FonFemme","Long","Non","Nord","A","Nago","NSP","Fon","NSP","1104","9:23",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,5,1,1,0,0,1,,1,1,0,1,0,0,1,,0,1,1,0,1
"",1003,"Adam","9:30","27/8/2012","F",42,"Fon","Chretien","3","Save","Collines","Nago","6",6,"1","2","Non","Nago","Short","NA","NA","NA","Nago","Nago","Fon","Adam","1000","9:49",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,2,0,0,0,0,,,,,1,0,0,1,,0,0,0,0,0
"",1004,"Adam","10:06","27/8/2012","M",23,"Dendi","Musulman","3","Parakou","Borgou","Nago","4",4,"4","1","Oui","Bariba","Long","Oui","Sud","A","Nago","Bariba","Fon","Adam","1100","10:25",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,4,1,1,0,0,0,,,,1,1,0,1,0,0,,0,0,0,0
"",1005,"Adam","10:42","27/8/2012","F",55,"Yorouba","Musulman","3","Ouidah","Atlantique","Nordique","15",15,"5","1","Oui","Femme","Long","Oui","Nord","A","Nago","Bariba","Fon","Adam","NSP","11:08",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,5,1,1,0,1,0,1,,0,1,1,1,0,,1,1,1,0,0,0
"",1006,"Adam","11:33","27/8/2012","M",26,"Fon","Chretien","3","Cotonou","Littoral","Bariba","26",26,"4","1","Oui","Control","Long","Non","Nord","A","Bariba","Nago","Fon","Adam","1100","12:02",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,4,1,1,1,0,0,0,0,,0,1,0,0,1,,0,1,0,0,0
"",1007,"Adam","14:09","27/8/2012","F",24,"Mina","Animiste","3","Lokossa","Mono","Nordique","1",1,"3","2","Non","Bariba","Short","NA","NA","NA","Yorouba","Bariba","Fon","NSP","1104","14:29",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,,,,,1,0,1,0,0,,0,0,0,0
"",1008,"Adam","14:43","27/8/2012","M",48,"Bariba","Musulman","3","Nikki","Borgou","Nago","3",3,"5","1","Oui","Femme","Long","Oui","Sud","A","Nago","Bariba","Fon","Adam","1000","15:07",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,5,1,1,0,1,0,1,,0,1,1,1,0,,1,1,1,0,0,0
"",1009,"Adam","15:24","27/8/2012","F",30,"Natimba","Chretien","3","Natitingou","Atacora","Nago","9",9,"6","1","Oui","Nago","Long","Non","Sud","A","Nago","Nago","Fon","Adam","1104","15:44",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,6,1,1,0,0,0,,,,0,1,0,1,0,0,,0,0,0,0
"",1010,"Adam","16:31","27/8/2012","M",62,"Fon","Chretien","3","Bembereke","Borgou","Nago","34",34,"5","1","Non","Bariba","Short","NA","NA","NA","Nago","Bariba","Fon","Adam","1500","16:58",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,5,1,0,0,0,0,,,,,1,0,0,1,,0,0,0,0,0
"",1011,"Adam","17:15","27/8/2012","F",18,"Bariba","Musulman","3","Parakou","Borgou","Nago","1",1,"4","1","Oui","Nago","Short","NA","NA","NA","Nago","Nago","Fon","Adam","1200","17:40",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,4,1,1,0,0,0,,,,,1,1,0,,1,1,0,0,0,0
"",1012,"Adam","17:44","27/8/2012","M",54,"Goun","Chretien","3","Adjara","Oueme","Nago","28",28,"4","1","Oui","Control","Long","Non","Nord","B","Yorouba","Bariba","Fon","Adam","NSP","18:01",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,4,1,1,1,0,0,0,0,,0,1,0,0,1,,0,1,0,0,0
"",2001,"Ibrahim","8:35","27/8/2012","F",33,"Fon","Chretien","2","Abomey","Zou","Nago","10",10,"7","1","Oui","Nago","Short","NA","NA","NA","Nago","Bariba","Fon","Ibrahim","1100","8:53",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,7,1,1,0,0,0,,,,,1,0,0,1,,0,0,0,0,0
"",2002,"Ibrahim","9:10","27/8/2012","M",24,"Fon","Chretien","3","Ouidah","Atlantique","Nago","5",5,"7","1","Non","Bariba","Short","NA","NA","NA","Nago","Peul","Fon","Ibrahim","1000","9:30",0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,7,1,0,0,0,0,,,,,1,0,0,1,,0,0,0,0,0
"",2003,"Ibrahim","9:48","27/8/2012","F",28,"Mina","Animiste","3","Lokossa","Mono","Nordique","4",4,"5","1","Oui","Bariba","Long","Non","Nord","A","Nordique","Bariba","Fon","Ibrahim","1000","10:10",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,5,1,1,0,0,0,,,,0,1,0,1,0,0,,0,0,0,0
"",2004,"Ibrahim","10:20","27/8/2012","M",22,"Ditamari","Chretien","2","Tanguieta","Atacora","Nago","7",7,"5","1","Oui","Femme","Long","Oui","Nord","A","Nago","Bariba","Fon","Ibrahim","1100","10:41",0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,5,1,1,0,1,0,1,,0,1,1,0,1,0,0,,1,0,0,0
"",2005,"Ibrahim","10:55","27/8/2012","F",25,"Bariba","Musulman","3","Nikki","Borgou","Nago","6",6,"6","1","Oui","Bariba","Long","Oui","Nord","A","Nago","Bariba","Fon","Ibrahim","1100","11:17",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,6,1,1,0,0,0,,,,1,1,1,0,,1,1,0,0,0,0
"",2006,"Ibrahim","11:25","27/8/2012","M",21,"Dendi","Musulman","3","Karimeama","Alibori","Nago","3",3,"6","1","Non","FonFemme","Long","Oui","Sud","A","Nago","Bariba","Fon","Ibrahim","1000","11:50",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,6,1,0,0,0,1,,1,1,1,1,0,1,0,0,,1,0,0,1
"",2007,"Ibrahim","14:37","27/8/2012","F",32,"Adja","Chretien","2","Djabotome","Couffo","Nordique","10",10,"5","1","Oui","Nago","Long","Non","Nord","A","Nago","Nago","Fon","NSP","1000","14:58",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,5,1,1,0,0,0,,,,0,1,0,1,0,0,,0,0,0,0
"",2008,"Ibrahim","15:10","27/8/2012","M",23,"Bariba","Musulman","3","Kouande","Atacora","Nago","4",4,"7","1","Oui","Control","Long","Oui","Sud","A","Nago","Peul","Fon","Ibrahim","1104","15:30",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,7,1,1,1,0,0,0,0,,1,1,1,0,,1,1,1,0,0,0
