term,estimate,std_error,t_value,p_value
vNS,39229.13362002883,11436.861265460626,3.4300611600930226,0.0006120462293273827
vSHS,31905.346232142718,12236.765329781132,2.607334975566895,0.009172708832114296
vHSD,24465.078959769053,12552.806525170188,1.948972838122936,0.05139689673311368
vSC,19528.412071473493,18526.378945698096,1.054086830929693,0.29193273773775885
vCOL,-15375.930337080685,36049.81017999722,-0.42651903741818453,0.6697619716224781
vDOM,-25153.82182065991,22237.55091225544,-1.1311417304860343,0.25809084944631694
vGTM,-31587.92504583045,35042.99951922607,-0.9014047164684056,0.3674495290436828
vHTI,-26545.22753289604,37055.16727873152,-0.7163704682054465,0.4738214642208427
vMEX,-34439.854949854016,10947.858007962053,-3.145807602254882,0.0016734075155400094
vNIC,-19417.532583977427,28283.5271344977,-0.6865315097243889,0.4924339896821478
vSLV,-34252.49505230755,30017.525493339985,-1.141083233523269,0.25393139529326236
