term,estimate,std_error,t_value,p_value
Intercept,36057.59633736035,17830.504754828547,2.022242041554985,0.04324485613170284
vNS,16806.010947764116,15925.108094048162,1.0553153453347788,0.29137082785574075
vSHS,9360.14875675157,16548.942384546983,0.565604045216319,0.5717076271473738
vHSD,-1038.579496296307,17789.146813768984,-0.0583827604082977,0.9534478510375366
vSC,-6989.545493829001,22689.39773949528,-0.308053372508092,0.7580642953270942
vCOL,-39238.17576857321,37913.264657276675,-1.0349458460850915,0.300782256354703
vDOM,-40088.83319243229,23420.410054864973,-1.711705008516915,0.08706014882300404
vGTM,-44873.72875791641,35634.83650658631,-1.259265739850455,0.20803777715014013
vHTI,-40609.49093262593,37682.409547643,-1.0776776596858046,0.2812690946263889
vMEX,-48484.416595572766,12959.905018707057,-3.741108945288382,0.00018683195353315227
vNIC,-39492.60937215536,29960.601163320945,-1.3181514335067452,0.18755918818306933
vSLV,-47309.141605624456,30688.114758927524,-1.5416112060732465,0.12327943142520836
